product_id,cust_rating,comment,date
25892106,3,Beautiful dress got many compliments after wearing this dress. Although it's a little overpriced but i just loved it . It's neck is very deep so u'll have to alter it before wearing.,31 May 2024
25892106,4,But neck is very deep u have to fix or secure the neck with something. Otherwise very nice & elegant dress.,6 Feb 2024
25892106,5,I just love the dress…fits me well. A bit of low neck but you can pin it up according to your chest deep you want. Even the fabric is up to mark. If you feel loose a bit on the waist then can cover up with a waist belt. It will look good. Just go and grab it girls. I am 5.3 ft and my waist is 28,25 Sept 2024
25892106,4,Such a comfortable fit. 4 star cos a little too pricey for the thin material. Length and fit is PERFECT. I am so happy with this purchase.,28 Nov 2024
25892106,4,"The fit is perfect and it looked amazing, the only problem is the neck, it was very deep and the neck line is not stitched together, overall it’s a go to dress for parties and other events",13 Aug 2024
25323250,5,"I recently purchased the StyleCast Red Shoulder Straps Bodycon Maxi Dress from Myntra, and I’m absolutely in love with it! The dress fits perfectly, accentuating the body in all the right places while still feeling comfortable. The red color is vibrant and eye-catching, and the shoulder straps add a chic touch to the overall look. It’s perfect for both casual outings and formal events. The fabric quality is excellent, and it has a flattering silhouette. Highly recommend it for anyone looking for a stylish and elegant maxi dress!",19 Sept 2024
25323250,5,Beautiful dress but the color is slightly different than the image,18 Apr 2024
25323250,4,"The dress boasts a beautiful, vibrant red color that’s perfect for both day and night occasions. The design is modern and chic, with a flattering silhouette that accentuates the figure beautifully. The fit was true to size, hugging the body in all the right places without being too tight. The length is just right, falling gracefully at knee level, which makes it suitable for a variety of events. The fabric quality is impressive. It feels soft and comfortable against the skin, making it easy to wear for extended periods. Despite its delicate appearance, the material is quite durable and holds up well after washing, maintaining its shape and color.",25 July 2024
25323250,5,Pretty amazing dress. Fit is good. Buy one size larger to have a better fit.Material quality is quite awesome and the red is crimson red so dress is completely wholesome. Go for it.,15 Feb 2024
25323250,5,"I just love this dress, it's fitting, colour and fabric everything is just awesome and this bodycon thing is giving a perfect shape to my body, I am feeling more confident in this, it's really comfortable and price is also good.",20 Oct 2024
29951378,5,"Dress material is great. Looks good on hour glass shape. Even if you’re having a bit of lower belly, this dress covers all and gives a sheek look. Dress is flowy, and has pockets so you can carry your stuff like lipstick/gloss, on your way to go.",13 Nov 2024
29951378,4,"It’s quite a pretty and stylish dress, the only issue is it’s fabric which is not a good sweat absorbent but can be wear in pleasant weather",27 Sept 2024
29951378,5,Beautiful dress i got so many compliments,22 Sept 2024
29951378,5,Just go for it❤️ Loved the fabric and quality,3 Oct 2024
29951378,4,"Dress is good, would be better if fabric would have been cotton. Sleeves go down again and again on your shoulders due to wide neck",22 Aug 2024
25158488,5,Beautiful n comfortable dress,19 June 2024
25158488,5,Very beautiful dress. Perfect fitting.,16 May 2024
25158488,5,"I recently purchased a stunning blue gown and I must say, it has quickly become one of my favorite pieces in my wardrobe. The color is absolutely gorgeous and the fabric is of high quality, with a luxurious feel that drapes beautifully. The design of the gown is elegant and sophisticated, featuring intricate detailing and embellishments that add a touch of glamour. The fit was perfect, accentuating my figure in all the right places and making me feel like a million bucks. I wore the gown to a special event and received so many compliments throughout the evening. It truly made me feel like a princess and I couldn't be happier with my purchase. Overall, I highly recommend this blue gown to anyone looking for a show-stopping piece that will make you look and feel fabulous. It's a timeless and versatile addition to any wardrobe that is sure to turn heads wherever you go.",23 Apr 2024
25158488,5,"Just Go for it 😍😍😍😍😍 Yesterday I ordered this gown .. they said it will be deliver at 8th dec .. but surprisingly they delivered today😁😁😁 This gown is soo perfect for me... ❤️ The colour is as exactly 💯 shown in the picture.. Quality is top notch ..Ii ordered Size M.. and my height is 5""6 .. it's comfortable and manageable best Outfit for any party , events .. It's compliment me in Every way ... 💙🩵 Thank you Myntra ✨",6 Dec 2024
